title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost,content_name
4bdrm Duplex in Ikota Gra for sale,"Lekki, Ikota",Ikota,Lekki,"₦ 170,000,000",200.0,4,5,Unfurnished,False,4bdrm Duplex in Ikota Gra for sale
5bdrm Duplex in Elliot Iju Ishaga for sale,"Agege, Iju-Ishaga",Iju-Ishaga,Agege,"₦ 230,000,000",400.0,5,5,Semi-Furnished,enterprise,5bdrm Duplex in Elliot Iju Ishaga for sale
Furnished 3bdrm Bungalow in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,"₦ 95,000,000",300.0,3,4,Furnished,diamond,Furnished 3bdrm Bungalow in Ayobo for sale
4bdrm Duplex in Abesan Estate for sale,"Ipaja, Abesan",Abesan,Ipaja,"₦ 145,000,000",600.0,4,4,Semi-Furnished,enterprise,4bdrm Duplex in Abesan Estate for sale
Furnished 5bdrm Duplex in An Estate In Ikeja for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 1,100,000,000",400.0,5,5,Furnished,enterprise,Furnished 5bdrm Duplex in An Estate In Ikeja for sale
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,"₦ 220,000,000",250.0,2,2,Unfurnished,enterprise,2bdrm Apartment in Ikate for sale
Furnished 2bdrm Bungalow in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,"₦ 66,000,000",600.0,2,3,Furnished,diamond,Furnished 2bdrm Bungalow in Ayobo for sale
"7bdrm Duplex in Pelican Axis,, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 70,000,000",550.0,7,7,Unfurnished,enterprise,"7bdrm Duplex in Pelican Axis,, Abeokuta South for sale"
6bdrm Duplex in Magodo Phase 2 Gra for sale,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,"₦ 550,000,000",500.0,6,6,Unfurnished,enterprise,6bdrm Duplex in Magodo Phase 2 Gra for sale
12bdrm Block of Flats in Baruwa for sale,"Ipaja, Baruwa",Baruwa,Ipaja,"₦ 150,000,000",600.0,12,12,Unfurnished,enterprise,12bdrm Block of Flats in Baruwa for sale
4bdrm Duplex in Lekki County Ikota for sale,"Lekki, Ikota",Ikota,Lekki,"₦ 170,000,000",200.0,4,4,Unfurnished,False,4bdrm Duplex in Lekki County Ikota for sale
3bdrm Bungalow in Ifo for sale,"Ogun State, Ifo",Ifo,Ogun State,"₦ 11,500,000",321.0,3,3,Semi-Furnished,diamond,3bdrm Bungalow in Ifo for sale
"5bdrm Mansion in Federal Housing, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 40,000,000",710.0,5,5,Semi-Furnished,diamond,"5bdrm Mansion in Federal Housing, Abeokuta South for sale"
3bdrm Duplex in Fagba Ifako Ijaiye for sale,"Agege, Fagba",Fagba,Agege,"₦ 180,000,000",200.0,3,3,Semi-Furnished,enterprise,3bdrm Duplex in Fagba Ifako Ijaiye for sale
5bdrm Duplex in Abeokuta South for sale,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 50,000,000",600.0,5,5,Unfurnished,enterprise,5bdrm Duplex in Abeokuta South for sale
4bdrm Duplex in Ikota Villa for sale,"Lekki, Ikota",Ikota,Lekki,"₦ 135,000,000",300.0,4,4,Unfurnished,False,4bdrm Duplex in Ikota Villa for sale
5bdrm Duplex in Baruwa for sale,"Ipaja, Baruwa",Baruwa,Ipaja,"₦ 135,000,000",600.0,5,5,Unfurnished,enterprise,5bdrm Duplex in Baruwa for sale
5bdrm Duplex in Ikeja Gra for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 1,800,000,000",600.0,5,5,Semi-Furnished,enterprise,5bdrm Duplex in Ikeja Gra for sale
Furnished 4bdrm Bungalow in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,"₦ 65,000,000",350.0,4,4,Furnished,diamond,Furnished 4bdrm Bungalow in Ayobo for sale
1bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 9,000,000",500.0,1,1,Unfurnished,diamond,1bdrm Block of Flats in Benin City for sale
"Furnished 4bdrm Duplex in Gloryland Estate, Ojodu for sale","Lagos State, Ojodu",Ojodu,Lagos State,"₦ 160,000,000",600.0,4,4,Furnished,diamond,"Furnished 4bdrm Duplex in Gloryland Estate, Ojodu for sale"
"Furnished 3bdrm Duplex in Abiola Way, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 80,000,000",400.0,3,3,Furnished,enterprise,"Furnished 3bdrm Duplex in Abiola Way, Abeokuta South for sale"
2bdrm Maisonette in Lekki for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 400,000,000",200.0,2,2,Unfurnished,enterprise,2bdrm Maisonette in Lekki for sale
2bdrm Apartment in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 300,000,000",180.0,2,3,Unfurnished,False,2bdrm Apartment in Lekki Phase 1 for sale
Furnished 3bdrm Bungalow in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,"₦ 92,000,000",400.0,3,4,Furnished,diamond,Furnished 3bdrm Bungalow in Ayobo for sale
5bdrm Duplex in Admiralty Estate for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 200,000,000",150.0,5,6,Unfurnished,enterprise,5bdrm Duplex in Admiralty Estate for sale
