title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost
10bdrm Bungalow in Lateef Jakande for sale,"Ifako-Ijaiye, Agbado",Agbado,Ifako-Ijaiye,"₦ 15,000,000",700.0,10,1,Unfurnished,False
"Furnished 4bdrm Duplex in Chime Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,"₦ 260,000,000",600.0,4,6,Furnished,enterprise
4bdrm Duplex in Centenary City Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,"₦ 100,000,000",400.0,4,4,Semi-Furnished,diamond
Furnished 5bdrm Duplex in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 1,100,000,000",600.0,5,5,Furnished,enterprise
"Furnished Mini Flat in Freedom Way Lekki, Ikate for sale","Lekki, Ikate",Ikate,Lekki,"₦ 160,000,000",600.0,1,1,Furnished,diamond
Furnished 2bdrm Apartment in Odeda for sale,"Ogun State, Odeda",Odeda,Ogun State,"₦ 65,000,000",648.0,2,2,Furnished,False
2bdrm Block of Flats in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),"₦ 45,000,000",300.0,2,2,Semi-Furnished,basic
"4bdrm Block of Flats in Abagdo Roads, Alakuko for sale","Ifako-Ijaiye, Alakuko",Alakuko,Ifako-Ijaiye,"₦ 120,000,000",1000.0,4,4,Semi-Furnished,diamond
"4bdrm Duplex in New Layout Estate, for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,"₦ 200,000,000",500.0,4,6,Semi-Furnished,enterprise
"20bdrm House in God’S Power Lodge, Akure for sale","Ondo State, Akure",Akure,Ondo State,"₦ 23,000,000",540.0,20,3,Unfurnished,False
"Furnished 1bdrm Apartment in Freedom Way, Ikate, for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 160,000,000",300.0,1,1,Furnished,enterprise
"Studio Apartment in Success, Ibadan for sale","Oyo State, Ibadan",Ibadan,Oyo State,"₦ 6,000,000",346.0,1,1,Unfurnished,enterprise
"Furnished Mini Flat in Gabas A, Kumbotso for sale","Kano State, Kumbotso",Kumbotso,Kano State,"₦ 21,000,000",150.0,3,3,Furnished,False
"6bdrm Duplex in Diamond Estate, for sale","Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,"₦ 230,000,000",444.0,6,6,Semi-Furnished,False
"4bdrm Duplex in Orchid Roads Lekki, Chevron for sale","Lekki, Chevron",Chevron,Lekki,"₦ 330,000,000",500.0,4,4,Semi-Furnished,diamond
8bdrm Block of Flats in Choba for sale,"Port-Harcourt, Choba",Choba,Port-Harcourt,"₦ 80,000,000",930.0,8,4,Unfurnished,enterprise
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,"₦ 190,000,000",160.0,2,2,Unfurnished,enterprise
"2bdrm Bungalow in Redeem, Oshimili South for sale","Delta State, Oshimili South",Oshimili South,Delta State,"₦ 50,000,000",350.0,2,3,Unfurnished,diamond
"5bdrm Apartment in Old Ikoyi, Lagos for sale","Ikoyi, Old Ikoyi",Old Ikoyi,Ikoyi,"₦ 2,700,000,000",300.0,5,5,Unfurnished,enterprise
"2bdrm Block of Flats in Not - Estate., Benin City for sale","Edo State, Benin City",Benin City,Edo State,"₦ 100,000,000",1000.0,2,2,Unfurnished,enterprise
3bdrm Bungalow in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),"₦ 60,000,000",500.0,3,3,Unfurnished,basic
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,"₦ 220,000,000",180.0,2,2,Unfurnished,diamond
3bdrm Bungalow in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),"₦ 80,000,000",500.0,3,3,Semi-Furnished,basic
"2bdrm Bungalow in Abogun, Ifo for sale","Ogun State, Ifo",Ifo,Ogun State,"₦ 12,000,000",500.0,2,3,Unfurnished,False
"Furnished 3bdrm Bungalow in Omachi Estate, Obio-Akpor for sale","Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,"₦ 97,000,000",200.0,3,4,Furnished,diamond
