Title,region,Region Name,region_parent_name,Price,Property Size,Bedrooms,Bathrooms,Furnishing,Is Boosted,House Type,Region Parent Name
"4bdrm Block of Flats in Abagdo Roads, Alakuko for sale","Ifako-Ijaiye, Alakuko",Alakuko,Ifako-Ijaiye,120000000.0,1000.0,4,4,Semi-Furnished,diamond,Block Of Flats,Lagos Mainland
"4bdrm Duplex in New Layout Estate, for sale","Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,200000000.0,500.0,4,6,Semi-Furnished,enterprise,Duplex,Rivers State
"Furnished 1bdrm Apartment in Freedom Way, Ikate, for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,160000000.0,300.0,1,1,Furnished,enterprise,Apartment,Lagos Island
"6bdrm Duplex in Diamond Estate, for sale","Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,230000000.0,444.0,6,6,Semi-Furnished,False,Duplex,Lagos Mainland
"4bdrm Duplex in Orchid Roads Lekki, Chevron for sale","Lekki, Chevron",Chevron,Lekki,330000000.0,500.0,4,4,Semi-Furnished,diamond,Duplex,Lagos Island
8bdrm Block of Flats in Choba for sale,"Port-Harcourt, Choba",Choba,Port-Harcourt,80000000.0,930.0,8,4,Unfurnished,enterprise,Block Of Flats,Rivers State
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,190000000.0,160.0,2,2,Unfurnished,enterprise,Apartment,Lagos Island
"2bdrm Block of Flats in Not - Estate., Benin City for sale","Edo State, Benin City",Benin City,Edo State,100000000.0,1000.0,2,2,Unfurnished,enterprise,Block Of Flats,Edo State
2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,Lekki,220000000.0,180.0,2,2,Unfurnished,diamond,Apartment,Lagos Island
3bdrm Bungalow in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),80000000.0,500.0,3,3,Semi-Furnished,basic,Bungalow,Abuja (FCT)
"Furnished 3bdrm Bungalow in Omachi Estate, Obio-Akpor for sale","Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,97000000.0,200.0,3,4,Furnished,diamond,Bungalow,Rivers State
